#    L    TT             EE             BB             TE          
   358    0.23977E+04    0.19857E+02    0.41881E-01    0.80008E+02
   359    0.23747E+04    0.19990E+02    0.42013E-01    0.78321E+02
   360    0.23522E+04    0.20120E+02    0.42148E-01    0.76613E+02
   361    0.23301E+04    0.20247E+02    0.42280E-01    0.74882E+02
   362    0.23084E+04    0.20371E+02    0.42413E-01    0.73130E+02
   363    0.22872E+04    0.20493E+02    0.42544E-01    0.71360E+02
   364    0.22664E+04    0.20610E+02    0.42678E-01    0.69568E+02
   365    0.22460E+04    0.20725E+02    0.42811E-01    0.67759E+02
   366    0.22260E+04    0.20837E+02    0.42945E-01    0.65931E+02
   367    0.22066E+04    0.20944E+02    0.43078E-01    0.64087E+02
   368    0.21874E+04    0.21048E+02    0.43213E-01    0.62227E+02
   369    0.21689E+04    0.21150E+02    0.43346E-01    0.60349E+02
   370    0.21508E+04    0.21247E+02    0.43481E-01    0.58459E+02
   371    0.21330E+04    0.21341E+02    0.43614E-01    0.56554E+02
   372    0.21158E+04    0.21432E+02    0.43748E-01    0.54637E+02
   373    0.20990E+04    0.21519E+02    0.43884E-01    0.52705E+02
   374    0.20826E+04    0.21602E+02    0.44021E-01    0.50763E+02
   375    0.20667E+04    0.21682E+02    0.44157E-01    0.48811E+02
   376    0.20513E+04    0.21759E+02    0.44293E-01    0.46847E+02
   377    0.20363E+04    0.21831E+02    0.44429E-01    0.44877E+02
   378    0.20218E+04    0.21899E+02    0.44567E-01    0.42895E+02
   379    0.20077E+04    0.21964E+02    0.44704E-01    0.40908E+02
   380    0.19942E+04    0.22026E+02    0.44840E-01    0.38913E+02
   381    0.19810E+04    0.22081E+02    0.44978E-01    0.36912E+02
   382    0.19683E+04    0.22135E+02    0.45116E-01    0.34907E+02
   383    0.19560E+04    0.22183E+02    0.45254E-01    0.32895E+02
   384    0.19444E+04    0.22228E+02    0.45395E-01    0.30882E+02
   385    0.19330E+04    0.22269E+02    0.45534E-01    0.28865E+02
   386    0.19222E+04    0.22307E+02    0.45673E-01    0.26847E+02
   387    0.19118E+04    0.22339E+02    0.45812E-01    0.24828E+02
   388    0.19018E+04    0.22368E+02    0.45952E-01    0.22808E+02
   389    0.18924E+04    0.22391E+02    0.46094E-01    0.20789E+02
   390    0.18833E+04    0.22413E+02    0.46236E-01    0.18773E+02
   391    0.18748E+04    0.22429E+02    0.46380E-01    0.16757E+02
   392    0.18666E+04    0.22443E+02    0.46524E-01    0.14746E+02
   393    0.18590E+04    0.22452E+02    0.46668E-01    0.12738E+02
